,comment
208,귀여우면 가져야지ㅋㅋㅋ
209,다시봐도 멋있어~한마디씩 다멋있어~이남자 뭐야♡♡목소리 까지 멋있어~실제로 이남자 처럼 없나요?
210,귀여우면 가져야지 ㅠㅠㅠㅠㅠㅠ
211,"타미 언니 41살..
저 언닌 나이를 어디로 먹는겨"
212,지금 6회 보고 있는데 왜 회가 지날수록 여주님 콧볼은 깊숙해져요.?
213,귀여우면 가져야지..뭐야 치인다....
214,음악도 너무 좋아
215,"귀여우면 가져야지,,,?!?! 사랑해 ㅠㅜㅜㅠ"
216,"비타민씨 비타민씨 라고 하는줄 ㅋㅋㅋㅋㅋㅋ


오 좋아요 2천개 !!!!♡♡♡♡"
217,"연하남 사귈려면 내 능력이 잇어야된다
그래서 나는 불가능 하다"
218,미쳤네  무슨 사람이저라케 반듯하고 번듯하고 말끔하고 깔끔하고 참신하고 미쳤네
219,와 여태 앞머리 내린거 영상보다가 이거 보는데 앞머리 깐거 미쳣다리미쳤다ㅜ
220,Requesting for ENG SUB pls..... :)
221,진짜 ㅅㅂ 개좋아 ㅠㅠ
222,잠을 깨우는 섹시함...잠 다잤다 오늘ㅜㅜ
223,하 장기용 ㅠ 까면 섹시하고 덮으면 귀엽네 흑
224,워후.. 대사에 치이고 치이고 또 치이고.. @_@
225,박모건 목소리까지 너무 섹쒸해
226,"뭐긴
키스받은 남자죠"
227,ㅠㅠㅠㅠ아 너무좋아
228,가끔 저런 속이 미싱미싱거리는 것도 괜찬탸....
229,3:15 코찡긋 미쳤따리
230,귀여우면 가져야지..... 귀여우면 가져야지..... 귀여우면 가져야지......
231,아니근데목소리왜이렇게좋은건데요자기야..
232,Finally international fans can view these diggle videos. Huuurayyyyy
233,"1:25
여러분 제일 뽀인트가 뭔지 아세여??
저....저 당당한 눈빛과.....아주 조금만 움직이는 저....저 고개와...떨림 없는 목소리와....제일 중요한.....장기용의 얼굴이에여...."
234,미성년자는 아니야..  귀여우면 가져야지.. 쒜엣...
235,아이유 패던놈아녀 연기잘하던데 멜로도 달달하네 잘생겨가지고
236,"아니 띠밤 남자가봐도 잘생겼네 
하..이게나라냐"
237,"봐야겠어 다시 봐야겠어 장기용을 봐야겠어,,,장기용
장기용,,장기용,,장기용,,"
238,드라마 이름 좀 알려주세여!!
239,"천년째 연애중, 우리 헤어졌어요 나오신 분이다!"
240,왜 박해일이 생각나냐 ㅜㅜㅜㅠ 장기용 목소리도 좋냐
241,"- how many years old you have?
- I'm not a minor
awwwww ️"
242,태도가!!!좋아서~~~
243,수정언니 항상부럽다...........영화 김종욱찾기에서 동갑내기 공유.....영화 내아내의모든것에서 이선균님. 좀더 오래전인 미사에서 소간지님....이젠 어리디어린 연하라니ㅠㅠㅠ이세상에서 언니가 제일 부러워요ㅠㅠ심지어 늙지도 않아ㅠㅠ
244,귀여우면 가져야지 이 말 진리네 ㅋㅋ
245,멘트들 주옥같네
246,드라마니까 용서됨 현실에선 잘생겨도 저러면 싫을듯ㅋㄱㄱㄲ
247,아니 미쳤나 도라이가 저렇게 잔망스럽고 섹시하고 귀엽기까지 하다고 ? 차라리 날 죽여 나 원래 드라마 안보는데 봐야지 백번 봐야지
248,목소리 치인다 진심..
249,이세상의모든 과오를 갖고 먼저하늘나라에 갑니다 다음생엔 잘생기게 태어나길..
250,그 부분이 왜이렇게 짧지.. 본방에서도 저렇게 스치듯 자나가나여ㅠ
251,꺅!!!!!!!
252,하진짜 이거시리즈보느라 잠을몬잔다매일
253,"기용씨 사랑해..,,..,,,,...,,나도 미성년자는 아니야....,,,가능,...할까,..,,..,?"
254,인생드라마....
255,와 이건 남자가 봐도 홍 간다...
256,아 심장이 좋지않아졌어 쿵쾅쿵쾅
257,미쳤다 ㅠㅠㅠㅠㅠㅠ이거
258,2:09 저 저 표정봐ㅠㅠㅠㅠㅠㅠㅠ
259,하... 말도 안되는 말이지만.. 장기용 와꾸 기럭지 목소리  저 급으로 보급형 양산되면 세상이 밝아보일듯.... 장기용 웃기만해도 개설레네.....
260,뭐야 여기 오락실 전주였네.... 우리집앞 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
261,2020손 아장기용 존잘 ㅠ하
262,그렇지 귀여우면 가져야지 ㅜㅜㅜㅜ
263,빨리 돌아가는 베드신 가장 느린속도로(0.25배) 재생함
264,오늘부터 내 이상형은 장기용이다...기용아..♡♡
265,좋네......
266,미쳤나봐. 나. 나 미쳤나봐 진짜ㅈ너무 좋아
267,시험 끝나고 무적권 본다..
268,장기용 목소리 뭐냐..미쳤네
269,자...장기용.... 너란 남쟈... 우식이랑 웹드때부터 알아본 너란 남쟈 더 떠라
270,간떨동 보다가 모건이 정주행하러 다닙니다 허허
271,"장기용 진짜 미쳤다... 나 남잔데 와...
.....남자는 저래야지 ㅠㅠ 와아.."
272,기용씨야 역이 찰떡이다~~~~~
273,남자가 들어도 목소리 치이네 ...
274,귀여우면 가져야한데 ㅠㅠㅠㅠㅠㅠㅠ
275,근데 정말로 으으른들은 하루만에.. 그런일도 많이일어나나요?? 아님 드라마라 그런거에요??
276,"이거뭔데 !!!어쩌다가 타고 들어왔는데.........
이 오글거림은.......다~~~찾아볼꺼야♡♡♡"
277,남자는 개쒯 종나 느끼한데 임수정은 여전히 이상황에도 이쁘네
278,"너어어는 진자,,, 모건하앍"
279,와 목소리 와와 이거봐야겠다 와
280,장기용 ㅅㅂ 목소리 개미쳤다
281,"1:23 1:23 1:23 1:23 1:23 1:23
2:04 2:04 2:04 2:04 2:04 2:04
3:19 3:19 3:19 3:19 3:19 3:19
아 능글거리는 남자가 최고인거지 캬 취한다"
282,남자 끼부림의 정석
283,여기 댓글 다 나랑 같은 마음이네 ㅋㅋㅋㅋㅋ
284,미쳤다 진짜 개치인다
285,내 인생드라마가 최준이 나타난뒤 겹쳐보인다
286,미성년자아니고...실수하는사람아니고...키스받은남자고..오케이..저장....
287,아..난 왜 여기서 최준을 보게 되는가ㅜㅜ 준며든거신가ㅠ
288,아 검블유 넷플릭스에도 나와주세요 녜 ??
289,장기용 같은 연하는 반칙아니냐
290,미쳐버려... 새벽에 이게 뜨네 쓰읍 후 목소리 발려버려
291,와...홀린다...
292,임수정님   사랑 합니다  연기좋고  목소리좋고  이쁨고   임수정 배우님  처럼부터  지금까지 앓이 앓이 심장이심쿵    많는사람이보며  시청룔
293,쥰나 잘생겼다 ...........
294,아 연하남이고 싶은데 연상만나고 싶은데 벌써 서른일곱이야. ㅜ ㅜ 흑흑
295,코 찡긋... 멋있는 줄 아는거야 본인도오 ㅠㅜㅜ
296,입꼬리가 안 내려가네 
297,I miss him when he fight in kill it
